CustomerID,Sex,MaritalStatus,Age,DriverRating
1,Female,Single,21,1
2,Male,Single,34,4
3,Male,Married,47,3
4,Male,Married,65,2
5,Female,Single,27,1
6,Male,Single,20,3
7,Male,Married,36,1
8,Male,Single,0,4
9,Male,Single,30,4
10,Male,Married,42,1
11,Male,Single,71,3
12,Male,Married,52,1
13,Male,Married,28,1
14,Male,Single,0,3
15,Male,Married,61,1
16,Male,Single,38,1
17,Male,Married,41,4
18,Female,Married,28,1
19,Male,Single,32,1
20,Male,Married,30,2
21,Male,Married,40,1
22,Male,Married,47,2
23,Male,Married,63,3
24,Male,Single,31,3
25,Male,Married,45,3
26,Male,Married,60,4
27,Male,Married,21,2
28,Male,Married,42,3
29,Male,Single,0,1
30,Female,Married,39,3
31,Male,Married,47,1
32,Male,Single,0,1
33,Male,Single,42,3
34,Male,Single,30,4
35,Male,Married,42,1
36,Male,Single,34,3
37,Male,Married,30,4
38,Male,Single,27,2
39,Male,Married,55,1
40,Male,Married,35,3
41,Female,Married,35,1
42,Male,Married,44,1
43,Female,Single,42,4
44,Male,Married,41,2
45,Male,Married,72,1
46,Female,Married,29,3
47,Male,Single,32,4
48,Male,Married,37,3
49,Female,Married,37,1
50,Male,Married,59,4
51,Male,Married,49,2
52,Male,Married,27,3
53,Male,Married,21,4
54,Male,Married,50,1
55,Male,Single,45,1
56,Male,Married,49,4
57,Male,Single,30,4
58,Male,Single,37,3
59,Male,Single,0,4
60,Female,Single,27,4
61,Male,Single,30,4
62,Male,Married,49,4
63,Male,Single,0,2
64,Male,Married,26,3
65,Male,Single,48,1
66,Male,Single,31,3
67,Male,Single,40,2
68,Male,Married,65,1
69,Male,Married,64,1
70,Male,Married,55,2
71,Male,Single,44,1
72,Male,Married,27,3
73,Female,Single,28,3
74,Male,Married,47,2
75,Male,Married,60,3
76,Male,Married,33,4
77,Male,Married,27,3
78,Female,Married,47,3
79,Female,Single,29,1
80,Female,Married,33,1
81,Male,Married,38,4
82,Male,Single,37,2
83,Male,Married,36,4
84,Female,Married,44,4
85,Male,Single,0,2
86,Male,Married,27,4
87,Male,Single,27,3
88,Male,Single,39,2
89,Male,Married,74,4
90,Male,Single,23,2
91,Female,Single,25,1
92,Male,Single,38,2
93,Male,Married,41,1
94,Male,Married,38,3
95,Male,Single,34,3
96,Male,Married,61,4
97,Male,Married,38,2
98,Male,Single,40,4
99,Male,Married,41,4
100,Male,Married,36,1
101,Male,Married,31,1
102,Female,Married,35,4
103,Female,Married,37,2
104,Male,Married,55,3
105,Male,Single,31,4
106,Male,Married,28,1
107,Male,Married,28,2
108,Male,Married,44,1
109,Male,Married,47,1
110,Male,Married,40,4
111,Male,Single,23,2
112,Male,Single,31,3
113,Male,Married,35,1
114,Male,Married,56,2
115,Male,Married,50,3
116,Male,Single,16,1
117,Male,Married,32,2
118,Male,Single,28,3
119,Male,Single,68,3
120,Male,Single,0,3
121,Male,Single,0,3
122,Female,Married,18,4
123,Male,Single,30,1
124,Male,Married,51,4
125,Male,Single,22,3
126,Female,Married,26,4
127,Male,Married,53,2
128,Male,Married,38,3
129,Male,Married,27,3
130,Male,Single,29,3
131,Male,Single,32,1
132,Male,Single,18,3
133,Male,Married,60,4
134,Male,Married,53,3
135,Male,Single,29,4
136,Male,Married,29,2
137,Male,Married,41,4
138,Male,Married,29,4
139,Male,Married,42,2
140,Male,Married,34,2
141,Male,Married,51,4
142,Male,Married,32,4
143,Male,Married,52,4
144,Male,Married,61,2
145,Male,Single,25,4
146,Male,Married,41,1
147,Male,Single,33,1
148,Male,Married,39,3
149,Male,Single,30,1
150,Male,Widow,50,4
151,Female,Married,31,1
152,Male,Single,23,4
153,Male,Single,31,3
154,Male,Married,50,3
155,Female,Single,33,3
156,Male,Married,30,2
157,Male,Married,44,1
158,Male,Married,46,2
159,Male,Single,31,4
160,Male,Married,48,3
161,Male,Married,33,3
162,Male,Single,0,1
163,Female,Single,37,3
164,Male,Married,43,3
165,Female,Married,32,1
166,Male,Married,57,1
167,Male,Married,65,2
168,Female,Single,27,4
169,Male,Married,42,4
170,Male,Married,57,1
171,Male,Single,32,3
172,Male,Single,29,2
173,Male,Married,36,4
174,Male,Single,28,4
175,Female,Single,32,1
176,Male,Single,33,2
177,Male,Married,37,2
178,Female,Single,26,3
179,Male,Married,53,1
180,Male,Married,53,3
181,Male,Married,74,4
182,Male,Married,50,2
183,Male,Single,27,4
184,Male,Married,48,1
185,Female,Single,55,2
186,Male,Married,48,4
187,Male,Single,0,4
188,Male,Married,54,4
189,Male,Married,36,1
190,Male,Married,43,2
191,Male,Married,41,4
192,Male,Married,48,2
193,Male,Married,26,2
194,Female,Married,43,3
195,Male,Married,39,3
196,Male,Married,49,3
197,Male,Married,37,3
198,Male,Married,36,3
199,Female,Married,52,4
200,Male,Married,29,4
201,Male,Married,38,4
202,Male,Single,34,4
203,Male,Single,0,3
204,Male,Married,41,4
205,Male,Married,41,3
206,Male,Married,64,3
207,Male,Married,27,4
208,Male,Single,25,4
209,Male,Single,21,2
210,Male,Married,31,2
211,Male,Single,39,1
212,Female,Married,37,1
213,Male,Married,41,4
214,Male,Married,37,4
215,Male,Married,28,1
216,Male,Married,57,1
217,Male,Married,61,2
218,Male,Married,69,4
219,Male,Married,67,1
220,Male,Married,52,4
221,Male,Single,23,1
222,Male,Married,38,4
223,Male,Married,32,4
224,Male,Married,26,2
