PolicyNumber,CustomerID,PolicyTypeID,AgentID,VehicleID,Deductible
1,6073,3,12-E,6,300
2,6926,21,15-E,6,400
3,6603,21,7-E,6,400
4,10388,56,4-E,8,400
5,1883,21,3-E,6,400
6,266,31,12-E,6,400
7,706,26,14-E,6,400
8,799,21,1-E,6,400
9,9433,31,7-E,6,400
10,1319,71,7-E,132,400
11,6962,81,7-E,252,400
12,10591,41,13-E,2,400
13,6042,41,11-E,18,400
14,11125,101,12-E,234,400
15,6200,41,3-E,18,400
16,2968,41,16-E,18,400
17,7992,81,15-E,246,400
18,575,106,6-E,254,400
19,779,41,6-E,32,400
20,902,56,2-E,6,400
21,6403,56,3-E,20,400
22,8834,102,13-E,254,400
23,2936,46,8-E,20,400
24,806,51,5-E,33,400
25,6004,81,12-E,252,400
26,4938,41,16-E,32,400
27,11435,116,1-E,231,400
28,3357,86,1-E,267,400
29,7540,81,9-E,234,400
30,11860,101,12-E,248,400
31,2417,101,2-I,273,400
32,4645,101,6-E,234,400
33,9687,111,2-E,254,400
34,10144,106,2-E,230,400
35,8671,61,12-E,132,400
36,720,56,5-E,26,400
37,9327,116,11-E,230,400
38,6029,116,4-E,249,400
39,3361,21,12-E,6,400
40,1545,106,1-E,236,400
41,9853,116,11-E,254,400
42,5046,93,15-E,260,400
43,1786,42,12-E,8,400
44,11552,106,5-E,230,400
45,9886,101,16-E,236,400
46,564,81,8-E,259,400
47,10322,101,9-I,261,400
48,4546,56,13-E,21,400
49,2028,51,10-E,30,400
50,2864,111,9-E,260,400
51,10515,41,14-E,33,400
52,5845,51,4-E,32,500
53,3289,31,4-E,6,400
54,6237,111,13-E,230,400
55,4391,106,8-E,261,400
56,9266,91,7-E,248,400
57,8624,81,5-E,230,400
58,186,101,11-E,270,400
59,8562,41,15-E,6,400
60,4197,106,4-E,254,400
61,2988,81,5-E,237,400
62,8317,121,6-E,148,400
63,10276,81,3-E,234,400
64,11822,57,13-E,8,400
65,811,101,1-E,260,400
66,4908,81,6-E,248,400
67,4064,116,16-E,282,400
68,2879,56,12-E,21,400
69,4494,101,5-E,236,400
70,1556,56,12-E,2,400
71,29,111,16-E,230,400
72,4026,106,9-E,248,400
73,8802,101,5-E,254,400
74,11674,116,7-E,230,400
75,6067,116,12-E,252,400
76,5224,101,9-E,243,400
77,5373,81,1-E,254,400
78,4260,21,12-E,6,400
79,6916,51,16-E,57,400
80,170,116,10-E,237,400
81,10768,41,13-E,32,400
82,7665,41,6-E,20,400
83,9075,83,13-E,258,400
84,6793,46,9-E,8,400
85,4209,42,6-E,6,400
86,10838,156,4-E,144,400
87,7557,116,14-E,236,400
88,7766,96,1-E,248,400
89,2505,91,13-E,261,400
90,6099,41,8-E,2,400
91,5645,36,2-E,6,400
92,5449,51,13-E,32,400
93,109,81,16-E,231,400
94,1235,116,13-E,260,700
95,6558,31,7-E,6,400
96,7032,116,15-E,231,400
97,252,101,7-E,236,400
98,5074,81,4-E,235,400
99,9371,81,12-E,260,400
100,10710,81,10-E,260,400
101,1825,76,2-E,144,400
102,1718,81,10-E,260,400
103,4198,91,14-E,246,500
104,11852,96,14-E,248,400
105,3761,86,12-E,260,400
106,4346,47,5-E,48,400
107,2359,101,11-E,248,400
108,8123,81,11-E,260,400
109,9710,81,1-E,254,400
110,2353,41,16-E,2,400
111,1533,101,4-E,236,400
112,8219,81,6-E,260,400
113,8321,81,9-E,230,400
114,11712,61,10-E,156,400
115,6343,116,2-E,254,400
116,7543,31,2-E,6,400
117,2172,116,12-E,261,400
118,4642,51,4-E,32,400
119,9480,81,9-E,248,400
120,4364,81,7-E,234,400
121,8163,81,8-E,234,400
122,6883,26,12-E,6,400
123,5805,106,2-E,264,400
124,11620,103,1-E,230,400
125,1862,91,6-E,237,400
126,5100,56,16-E,32,400
127,8114,102,15-E,273,400
128,5706,56,13-E,21,400
129,8755,41,9-E,27,400
130,1471,111,14-E,230,400
131,454,116,10-E,260,400
132,11469,116,14-E,230,400
133,4091,106,6-E,260,400
134,5297,116,12-E,246,400
135,2709,106,16-E,230,400
136,5722,116,6-E,260,400
137,9068,116,9-E,236,400
138,537,96,9-E,236,400
139,4883,81,2-E,278,400
140,6178,86,9-E,235,400
141,3500,31,11-E,6,400
142,3601,91,3-E,260,400
143,2958,54,10-I,26,400
144,4016,101,8-E,236,400
145,9027,51,1-E,8,400
146,11190,81,6-E,249,400
147,10003,41,10-E,21,400
148,522,97,1-E,237,400
149,8058,101,13-E,267,400
150,4446,101,15-E,248,400
151,3748,116,8-E,260,400
152,2533,51,8-E,33,400
153,9304,46,10-E,33,400
154,5796,96,2-E,230,500
155,9471,41,8-E,2,400
156,5270,51,6-E,39,400
157,11434,101,13-E,250,400
158,6453,96,13-E,258,400
159,2978,51,11-E,2,400
160,10101,41,5-E,2,400
161,8748,81,12-E,258,400
162,4731,41,3-E,6,400
163,3579,46,5-E,30,400
164,5313,81,3-E,235,400
165,1884,108,14-E,237,400
166,10318,51,4-E,8,400
167,3541,81,8-E,230,400
168,8816,106,12-E,236,400
169,899,62,6-E,180,400
170,11782,56,7-E,2,400
171,3271,96,2-E,260,400
172,3723,56,7-E,20,400
173,5803,101,2-E,297,400
174,7209,46,2-E,9,400
175,5650,86,14-E,229,400
176,7273,81,1-E,254,400
177,11946,91,1-E,303,400
178,2592,56,16-E,2,400
179,11230,86,5-E,254,400
180,4722,81,12-E,278,400
181,8346,86,8-E,241,400
182,6532,101,3-E,260,400
183,7924,81,3-E,248,400
184,9617,96,7-E,236,400
185,6974,91,2-E,254,400
186,9557,96,10-E,260,400
187,5283,41,8-E,6,400
188,10809,41,10-E,32,400
189,6581,56,14-E,27,400
190,3854,82,10-E,249,400
191,3023,111,1-E,249,400
192,4141,91,6-E,236,400
193,1663,66,14-E,144,400
194,9681,81,1-E,236,400
195,2114,21,13-E,6,400
196,7628,116,4-E,255,400
197,6651,101,14-E,231,400
198,2264,116,1-E,248,400
199,4589,96,4-E,260,400
200,11812,86,16-E,259,400
201,1817,101,10-E,248,400
202,6527,101,2-E,248,400
