PolicyTypeID,PolicyType,BasePolicy,NumberOfSuppliments,NumberOfCars
1,Sport - Liability,Liability,none,1 vehicle
2,Sport - Liability,Liability,none,2 vehicles
3,Sport - Liability,Liability,none,3 to 4
4,Sport - Liability,Liability,none,5 to 8
5,Sport - Liability,Liability,none,more than 8
6,Sport - Liability,Liability,1 to 2,1 vehicle
7,Sport - Liability,Liability,1 to 2,2 vehicles
8,Sport - Liability,Liability,1 to 2,3 to 4
9,Sport - Liability,Liability,1 to 2,5 to 8
10,Sport - Liability,Liability,1 to 2,more than 8
11,Sport - Liability,Liability,3 to 5,1 vehicle
12,Sport - Liability,Liability,3 to 5,2 vehicles
13,Sport - Liability,Liability,3 to 5,3 to 4
14,Sport - Liability,Liability,3 to 5,5 to 8
15,Sport - Liability,Liability,3 to 5,more than 8
16,Sport - Liability,Liability,more than 5,1 vehicle
17,Sport - Liability,Liability,more than 5,2 vehicles
18,Sport - Liability,Liability,more than 5,3 to 4
19,Sport - Liability,Liability,more than 5,5 to 8
20,Sport - Liability,Liability,more than 5,more than 8
21,Sport - Collision,Collision,none,1 vehicle
22,Sport - Collision,Collision,none,2 vehicles
23,Sport - Collision,Collision,none,3 to 4
24,Sport - Collision,Collision,none,5 to 8
25,Sport - Collision,Collision,none,more than 8
26,Sport - Collision,Collision,1 to 2,1 vehicle
27,Sport - Collision,Collision,1 to 2,2 vehicles
28,Sport - Collision,Collision,1 to 2,3 to 4
29,Sport - Collision,Collision,1 to 2,5 to 8
30,Sport - Collision,Collision,1 to 2,more than 8
31,Sport - Collision,Collision,3 to 5,1 vehicle
32,Sport - Collision,Collision,3 to 5,2 vehicles
33,Sport - Collision,Collision,3 to 5,3 to 4
34,Sport - Collision,Collision,3 to 5,5 to 8
35,Sport - Collision,Collision,3 to 5,more than 8
36,Sport - Collision,Collision,more than 5,1 vehicle
37,Sport - Collision,Collision,more than 5,2 vehicles
38,Sport - Collision,Collision,more than 5,3 to 4
39,Sport - Collision,Collision,more than 5,5 to 8
40,Sport - Collision,Collision,more than 5,more than 8
41,Sedan - Liability,Liability,none,1 vehicle
42,Sedan - Liability,Liability,none,2 vehicles
43,Sedan - Liability,Liability,none,3 to 4
44,Sedan - Liability,Liability,none,5 to 8
45,Sedan - Liability,Liability,none,more than 8
46,Sedan - Liability,Liability,1 to 2,1 vehicle
47,Sedan - Liability,Liability,1 to 2,2 vehicles
48,Sedan - Liability,Liability,1 to 2,3 to 4
49,Sedan - Liability,Liability,1 to 2,5 to 8
50,Sedan - Liability,Liability,1 to 2,more than 8
51,Sedan - Liability,Liability,3 to 5,1 vehicle
52,Sedan - Liability,Liability,3 to 5,2 vehicles
53,Sedan - Liability,Liability,3 to 5,3 to 4
