VehicleID,VehicleCategory,Make,VehiclePrice
1,Sport,Honda,less than 20000
2,Sport,Honda,20000 to 29000
3,Sport,Honda,30000 to 39000
4,Sport,Honda,40000 to 59000
5,Sport,Honda,60000 to 69000
6,Sport,Honda,more than 69000
7,Sport,Toyota,less than 20000
8,Sport,Toyota,20000 to 29000
9,Sport,Toyota,30000 to 39000
10,Sport,Toyota,40000 to 59000
11,Sport,Toyota,60000 to 69000
12,Sport,Toyota,more than 69000
13,Sport,Ford,less than 20000
14,Sport,Ford,20000 to 29000
15,Sport,Ford,30000 to 39000
16,Sport,Ford,40000 to 59000
17,Sport,Ford,60000 to 69000
18,Sport,Ford,more than 69000
19,Sport,Mazda,less than 20000
20,Sport,Mazda,20000 to 29000
21,Sport,Mazda,30000 to 39000
22,Sport,Mazda,40000 to 59000
23,Sport,Mazda,60000 to 69000
24,Sport,Mazda,more than 69000
25,Sport,Chevrolet,less than 20000
26,Sport,Chevrolet,20000 to 29000
27,Sport,Chevrolet,30000 to 39000
28,Sport,Chevrolet,40000 to 59000
29,Sport,Chevrolet,60000 to 69000
30,Sport,Chevrolet,more than 69000
31,Sport,Pontiac,less than 20000
32,Sport,Pontiac,20000 to 29000
33,Sport,Pontiac,30000 to 39000
34,Sport,Pontiac,40000 to 59000
35,Sport,Pontiac,60000 to 69000
36,Sport,Pontiac,more than 69000
37,Sport,Accura,less than 20000
38,Sport,Accura,20000 to 29000
39,Sport,Accura,30000 to 39000
40,Sport,Accura,40000 to 59000
41,Sport,Accura,60000 to 69000
42,Sport,Accura,more than 69000
43,Sport,Dodge,less than 20000
44,Sport,Dodge,20000 to 29000
45,Sport,Dodge,30000 to 39000
46,Sport,Dodge,40000 to 59000
47,Sport,Dodge,60000 to 69000
48,Sport,Dodge,more than 69000
49,Sport,Mercury,less than 20000
50,Sport,Mercury,20000 to 29000
51,Sport,Mercury,30000 to 39000
52,Sport,Mercury,40000 to 59000
53,Sport,Mercury,60000 to 69000
54,Sport,Mercury,more than 69000
55,Sport,Jaguar,less than 20000
56,Sport,Jaguar,20000 to 29000
57,Sport,Jaguar,30000 to 39000
58,Sport,Jaguar,40000 to 59000
59,Sport,Jaguar,60000 to 69000
60,Sport,Jaguar,more than 69000
61,Sport,Nisson,less than 20000
62,Sport,Nisson,20000 to 29000
63,Sport,Nisson,30000 to 39000
64,Sport,Nisson,40000 to 59000
65,Sport,Nisson,60000 to 69000
66,Sport,Nisson,more than 69000
67,Sport,VW,less than 20000
68,Sport,VW,20000 to 29000
69,Sport,VW,30000 to 39000
70,Sport,VW,40000 to 59000
71,Sport,VW,60000 to 69000
72,Sport,VW,more than 69000
73,Sport,Saab,less than 20000
74,Sport,Saab,20000 to 29000
75,Sport,Saab,30000 to 39000
76,Sport,Saab,40000 to 59000
77,Sport,Saab,60000 to 69000
